,seismic,seismoacoustic,shift,genergy,gpuls,gdenergy,gdpuls,ghazard,energy,maxenergy,class
465,1,1,1,78430,455,12,8,1,207900,200000,0
1713,1,2,1,21750,635,-38,-40,1,0,0,0
2400,1,2,2,13200,505,6,102,1,9000,9000,0
1515,2,1,1,62880,826,338,99,2,700,700,0
1757,1,1,2,8850,361,-12,4,1,0,0,0
1861,2,2,2,3080,123,-70,-66,2,0,0,0
359,2,2,2,66800,441,-34,-31,1,0,0,0
1607,1,1,2,7460,240,-28,-32,1,0,0,0
2251,2,1,2,37050,649,435,239,2,0,0,0
2066,2,1,1,20330,413,-42,-25,1,0,0,0
1385,2,2,1,19680,288,121,37,2,0,0,1
1299,1,1,1,14070,504,25,81,1,0,0,0
754,1,1,1,23400,140,-20,-24,1,2000,800,0
648,1,2,2,10520,72,46,1,1,5000,5000,0
1857,2,2,2,6710,164,-35,-55,2,0,0,0
1528,2,2,1,54860,989,233,115,2,0,0,0
304,2,1,1,380320,1545,-40,-24,1,30900,20000,1
1893,1,1,1,32620,718,0,17,1,0,0,0
752,1,1,2,6430,30,-33,-79,1,300,300,0
252,2,2,1,1446770,1471,13,5,1,0,0,0
1068,1,1,2,3090,18,5,-55,1,0,0,0
2044,1,1,1,21040,402,-38,-25,1,300,300,0
2027,2,2,1,59950,815,105,67,1,0,0,0
2158,2,1,1,10220,408,-62,-14,1,0,0,0
1227,2,1,1,17360,380,-37,-9,1,0,0,0
1183,1,2,2,5880,175,-40,-24,1,0,0,0
610,2,2,1,13600,215,-60,-29,2,3600,3000,0
1228,2,1,1,12840,350,157,40,1,0,0,0
1512,2,1,1,12160,364,-15,-12,1,0,0,0
916,1,1,2,20730,48,-39,-46,1,400,400,0
918,1,1,2,18410,30,-33,-61,1,0,0,0
2566,2,1,1,15130,372,18,51,1,0,0,0
1284,1,1,1,17710,191,-22,-52,1,0,0,0
625,1,2,1,31710,352,-20,-9,1,1000,500,0
1614,2,1,1,46520,1587,25,52,1,0,0,0
904,1,2,1,68130,162,-9,-9,1,1000,600,0
413,2,1,1,45670,382,26,5,1,10800,5000,1
2179,2,2,1,124380,1220,324,146,3,0,0,0
1136,1,2,1,15300,295,-40,-41,1,0,0,0
1354,1,2,1,12980,436,-13,16,2,0,0,0
312,1,1,2,72780,269,-48,-52,1,3000,3000,0
1963,2,1,1,60930,866,101,72,1,10000,10000,0
2128,1,1,1,21480,537,-32,2,1,0,0,0
656,1,2,1,23290,592,-58,-37,2,500,500,0
1686,1,2,1,35450,567,6,8,1,600,500,1
1763,1,1,2,3380,262,-68,-30,1,0,0,0
1752,1,1,2,10410,422,4,21,1,0,0,0
1524,2,2,1,23790,589,56,34,2,0,0,0
1744,2,1,1,27440,635,-5,-28,1,400,400,0
1764,1,1,2,5180,167,-43,-10,1,0,0,0
32,1,1,1,144880,361,-46,-52,1,2000,2000,0
2453,1,1,1,25050,353,-7,-19,1,0,0,0
1342,1,2,1,11090,639,54,249,1,0,0,0
1297,1,1,1,20500,717,82,157,1,0,0,0
1856,2,2,2,9980,145,-3,-60,2,0,0,0
1248,1,1,2,7120,227,-23,2,1,0,0,0
1641,2,2,2,13330,443,29,26,1,0,0,0
2438,1,1,2,4400,67,-64,-71,1,0,0,0
980,1,1,2,4910,25,-58,-40,1,0,0,0
490,1,1,1,33310,274,-30,-27,1,6800,3000,0
2548,1,1,1,17280,394,32,53,1,100,100,0
647,1,2,2,2960,49,-62,-34,1,0,0,0
782,1,2,1,48820,446,57,75,2,3900,2000,0
1942,1,1,2,2960,108,-76,-57,1,0,0,0
1956,1,1,1,31810,514,27,3,1,100,100,0
1692,1,2,2,54770,1913,445,450,3,0,0,0
766,1,2,1,60340,495,68,96,1,12500,8000,0
2012,2,2,1,67810,1002,153,120,1,0,0,0
1886,1,1,1,36930,534,14,-13,1,0,0,0
2578,2,1,1,28910,307,115,20,1,0,0,0
600,1,1,1,36600,341,20,37,1,13000,7000,0
503,2,1,1,45330,485,-4,25,1,402000,400000,0
151,1,1,2,64930,273,-35,-33,1,5000,5000,0
1129,1,1,1,14080,172,-38,-65,1,0,0,0
1927,1,1,2,4170,181,-49,-34,1,0,0,0
1199,2,2,2,11660,330,26,49,1,0,0,0
831,1,2,2,29650,93,-51,-20,1,0,0,0
2285,2,2,1,93280,747,273,49,1,16000,10000,0
1549,2,2,1,90960,2039,308,243,2,32000,30000,0
444,2,2,1,39700,805,-17,5,1,8700,5000,1
1230,2,1,2,17620,557,91,151,1,300,300,0
1047,1,1,2,1970,17,-14,-58,1,0,0,0
1829,1,2,1,40480,639,51,-2,1,0,0,0
1926,1,1,2,8030,224,31,42,1,0,0,0
753,1,1,2,3020,19,-66,-85,1,2000,2000,0
1571,2,2,1,31160,1133,-7,23,2,5000,5000,0
525,1,1,1,26550,330,-17,-23,1,1700,1000,0
1069,1,1,2,3510,19,22,-52,1,0,0,0
182,1,1,1,912890,2001,25,37,1,0,0,0
2028,2,2,1,38590,716,32,47,1,0,0,0
1772,2,1,2,8880,112,-15,-71,1,7000,7000,0
1825,1,2,1,59840,696,124,7,1,6300,6000,1
1507,2,1,1,11320,514,-15,33,1,0,0,0
958,1,2,2,8110,29,-33,-28,1,0,0,0
2524,2,1,1,10280,228,-12,-10,1,0,0,0
1610,1,1,1,24160,362,-23,-32,1,0,0,0
789,1,1,1,35510,313,8,3,1,500,500,0
707,1,1,1,130940,1397,-14,-2,1,2000,2000,0
1360,1,2,1,15710,308,101,70,1,0,0,0
2306,1,2,1,31460,396,13,-18,1,0,0,0
861,1,1,1,140890,230,-32,-37,1,600,400,0
574,1,1,1,54030,335,-3,13,1,13300,9000,0
532,1,2,1,14990,185,-49,-51,1,4500,4000,1
1622,2,1,1,38330,1042,-1,-3,1,600,600,0
1618,2,1,1,108280,2157,190,106,1,9500,9000,0
960,1,2,2,11500,30,-3,-25,1,0,0,0
457,1,1,2,11730,59,-53,-88,1,300,300,0
274,2,1,1,372470,1848,-35,-22,1,70000,60000,1
85,1,1,1,233810,839,-31,-24,1,0,0,0
1302,1,1,1,33560,590,194,111,1,0,0,0
82,1,2,2,36380,222,-32,-2,1,4000,4000,0
2076,2,1,1,32490,595,-7,7,1,0,0,0
2369,1,1,1,24360,351,-25,-16,1,1300,900,0
370,1,1,2,4230,48,-92,-85,1,0,0,0
1740,2,1,2,18840,434,126,158,1,300000,300000,0
2157,1,1,1,27350,602,-1,25,1,200,200,0
350,2,2,1,887140,3327,128,144,2,6200,2000,1
142,1,1,2,46300,197,-69,-63,1,5000,5000,0
1999,2,2,1,33960,593,29,28,2,4000,4000,0
907,1,2,2,58410,113,84,88,1,0,0,0
140,1,1,1,316200,1089,-37,-21,1,2700,1000,0
1578,2,2,1,21430,776,-37,-19,2,0,0,0
1096,1,2,2,4030,127,-13,48,2,0,0,0
1853,2,2,2,4070,173,-61,-54,2,0,0,0
570,2,1,1,32310,194,-56,-49,1,28400,20000,0
2347,2,1,1,60710,782,92,79,1,4800,2000,0
670,1,1,1,87700,935,-53,-49,1,1600,1000,0
368,1,1,2,10420,62,-85,-86,1,1000,1000,0
1839,2,2,1,32780,677,15,8,2,10000,10000,0
1858,2,2,2,8330,113,-19,-69,2,0,0,0
2424,1,2,2,5690,100,-53,-59,1,0,0,0
1849,2,2,2,7590,233,-27,-38,2,0,0,0
619,2,1,1,11800,133,-47,-46,1,3300,3000,0
1472,1,1,1,26220,707,51,22,1,0,0,0
357,2,1,1,545470,1894,-1,-29,1,53600,30000,0
2448,1,1,1,9890,89,-63,-79,1,20000,20000,0
622,1,1,1,25650,157,2,-42,1,16900,8000,0
2048,1,1,1,31430,484,-10,-11,1,0,0,0
553,1,2,1,28520,483,-19,5,2,1700,700,1
579,1,1,2,4050,34,-31,-37,1,600,600,0
854,1,2,1,240350,458,24,34,1,3000,2000,0
602,1,1,1,27870,238,-6,-5,1,0,0,0
559,2,2,1,70490,330,-38,-37,1,10300,3000,0
947,1,1,2,12760,26,-9,-35,1,0,0,0
253,2,2,1,1132810,1893,-14,34,1,7000,3000,1
1386,2,2,1,22320,337,39,48,1,10000,10000,0
2139,1,1,1,23190,368,-22,-27,1,0,0,0
106,1,1,2,12970,53,-65,-64,1,0,0,0
1731,2,1,1,19890,236,-40,-55,1,8000,8000,1
763,1,2,1,42840,248,24,5,1,4000,2000,0
464,1,1,1,80210,525,18,32,1,2700,1000,1
247,1,2,1,943300,987,-23,-30,1,1400,1000,0
1027,1,1,2,1150,6,-59,-85,1,0,0,0
1918,1,1,1,19580,439,-44,-24,1,0,0,0
535,2,2,1,17150,198,-39,-44,1,24200,20000,0
158,1,2,1,1049580,1807,31,21,1,0,0,0
2227,2,2,1,59950,865,19,18,1,700,700,0
203,2,2,1,2129020,3722,161,91,2,20600,20000,0
1349,1,2,1,23820,525,63,44,2,0,0,0
1479,1,1,1,10100,295,-35,16,1,0,0,0
1718,2,2,1,31030,534,-8,0,1,600,600,0
777,1,2,1,39880,342,15,21,1,2800,1000,0
1321,1,2,1,10980,327,-16,0,2,0,0,0
2582,1,1,1,16130,322,2,2,1,0,0,0
728,1,1,2,8760,133,-59,-33,1,600,600,0
1232,2,1,1,17320,586,-17,-6,1,0,0,0
436,2,1,2,5500,152,-51,-1,1,250,200,0
481,1,1,1,39050,305,-40,-19,1,2000,700,0
71,1,1,2,75930,305,-38,-27,1,6000,6000,0
2077,2,1,1,31800,585,-9,6,1,100,100,0
356,2,1,1,581540,2102,7,-23,1,6500,6000,1
113,1,2,1,328050,707,51,0,1,200,200,0
1704,1,2,1,14000,286,-59,-48,1,0,0,0
1368,1,2,1,15930,171,-2,-21,1,0,0,0
461,1,1,1,92380,514,25,29,1,4300,2000,0
650,2,1,1,79790,1419,39,80,1,21200,20000,0
552,1,2,1,39980,629,14,43,2,2800,2000,0
2186,1,3,2,24740,530,223,123,3,7000,7000,0
2019,2,2,1,42700,700,53,49,1,400,400,0
569,1,1,1,69660,362,-10,-8,1,800,500,1
2026,2,2,1,48950,744,67,53,1,0,0,0
1771,2,1,2,6850,355,191,309,2,0,0,0
438,2,1,2,3250,68,-67,-54,1,30000,30000,1
1888,1,1,1,46400,652,43,7,1,0,0,0
1325,1,2,1,23800,540,82,65,2,0,0,0
1503,2,1,1,16240,673,22,74,1,0,0,0
1603,1,1,2,8780,178,279,91,1,0,0,0
746,1,1,1,29990,203,-55,-75,1,9400,6000,0
1538,2,2,1,23260,746,27,48,2,0,0,0
1009,1,1,2,2290,6,-7,-85,1,0,0,0
150,1,1,1,278230,1060,-31,-18,1,900,900,0
1382,2,2,1,25180,592,39,24,1,0,0,0
713,2,1,1,265250,2852,64,84,1,23000,20000,0
697,2,2,1,92760,967,-42,-31,2,65800,60000,0
383,2,1,1,122850,886,-58,-52,1,6900,6000,1
239,2,2,1,1283710,1556,17,9,1,40600,40000,0
1116,1,1,1,25750,494,9,-3,1,0,0,0
1062,1,1,2,1070,10,-64,-75,1,0,0,0
2169,2,1,1,55130,800,88,61,1,0,0,0
798,1,1,1,19630,295,-40,-11,1,8300,7000,0
2087,1,1,2,9010,255,-28,2,1,0,0,0
1722,2,2,1,13360,383,-59,-61,1,0,0,0
1749,2,1,2,20040,777,99,123,1,0,0,0
1406,1,2,1,26120,341,62,39,1,400,400,0
1730,2,1,1,11390,233,-66,-55,1,0,0,0
168,1,2,1,722590,2125,-17,30,1,5000,4000,0
1007,1,1,2,920,9,-71,-78,1,0,0,0
185,1,1,2,77540,174,-75,-73,1,0,0,0
430,2,2,1,34960,565,-27,2,1,14200,7000,1
788,1,1,1,46170,404,53,45,1,700,700,0
2197,1,3,1,37660,658,-5,7,3,0,0,0
1593,1,2,2,9450,325,0,3,1,0,0,0
2115,1,1,2,7090,220,-38,-10,1,0,0,0
832,1,2,1,111510,169,-36,-63,1,5000,3000,0
793,1,1,2,4760,94,-23,37,1,0,0,0
2551,1,1,1,22890,283,104,23,1,0,0,0
1685,1,2,1,21520,477,-32,-5,1,0,0,0
103,1,1,2,22710,68,-57,-70,1,0,0,0
1576,2,2,1,18180,609,-47,-36,2,0,0,0
1658,2,2,1,47670,507,40,-11,1,0,0,0
1461,1,2,1,48240,565,187,116,1,0,0,0
1391,2,2,2,10690,367,182,227,1,0,0,0
1434,1,1,2,6980,85,0,-49,1,0,0,0
2484,1,1,1,11740,278,-47,-25,1,0,0,0
2549,1,1,1,76490,1203,484,367,2,0,0,0
1716,1,2,1,23710,387,-32,-31,1,1000,1000,0
2166,2,1,1,71360,827,143,67,1,4700,4000,0
165,1,2,1,640820,1235,-25,-23,1,5000,5000,0
1495,2,1,1,13960,293,-12,12,1,30000,30000,0
1291,1,1,1,18850,215,-13,-43,1,0,0,0
391,2,2,1,122410,902,8,9,1,3600,3000,1
371,1,1,2,3210,47,-93,-82,1,0,0,0
863,1,1,1,122030,211,-42,-42,1,500,500,0
1105,1,1,1,18470,525,-46,-41,1,0,0,0
484,1,1,1,37270,293,-31,-23,1,6200,4000,0
1637,2,2,1,18540,896,-55,-22,1,0,0,0
230,1,1,1,2102300,4014,27,26,1,4000,3000,0
869,1,1,1,120690,150,-18,-43,1,0,0,0
2558,2,1,2,8560,210,-18,2,1,0,0,0
235,1,2,2,195510,321,-61,-57,1,6000,6000,0
2570,2,1,1,24620,362,63,18,1,0,0,0
1564,2,2,1,19790,825,-32,6,2,400,400,0
1643,2,2,2,21920,763,112,117,1,4000,4000,0
802,2,2,1,26290,104,-6,-67,1,25300,20000,0
112,1,2,2,49910,208,61,61,1,3000,3000,0
564,1,1,2,5770,45,-86,-89,1,2000,2000,0
2191,1,3,1,34900,798,-12,30,3,0,0,0
1566,2,2,1,20160,688,-40,-25,2,0,0,0
1286,1,1,1,38820,647,259,137,1,0,0,0
1125,2,1,1,27020,294,334,-5,2,0,0,0
688,1,2,1,148160,1282,1,0,1,1300,900,0
237,1,2,2,315650,645,-33,-9,1,5000,5000,0
2120,1,1,2,7160,228,-6,-4,1,0,0,0
1803,2,2,1,38350,532,36,10,1,0,0,0
2003,2,2,1,28360,781,7,68,2,0,0,0
432,1,2,2,4930,109,-59,-31,1,5000,5000,0
2161,2,1,1,35540,487,31,3,1,0,0,0
2108,1,1,2,6880,250,-43,1,1,0,0,0
1298,1,1,1,23210,264,12,-27,1,900,900,0
2033,1,1,1,59640,722,98,47,1,600,400,0
1756,1,1,2,10370,402,3,16,1,0,0,0
398,2,2,1,127770,1141,7,24,1,44400,40000,0
2243,2,1,1,81480,1112,182,40,1,300,300,0
712,2,1,1,166220,1762,7,20,1,0,0,1
226,1,1,2,157450,418,-33,-31,1,0,0,0
2273,2,2,2,6930,68,-45,-73,1,0,0,0
2508,1,1,1,8670,216,-51,-32,1,0,0,0
2122,1,1,1,14650,325,-56,-40,1,300,300,0
1323,1,2,1,38880,689,197,110,2,2000,2000,0
702,2,1,1,195950,1913,38,40,1,2700,1000,0
452,1,1,1,106610,546,26,43,1,20800,7000,1
938,1,1,2,25510,60,-75,-60,1,0,0,0
765,1,2,1,15930,177,-57,-29,1,2600,2000,0
1343,1,2,1,15740,278,8,-24,2,3000,3000,0
1482,1,1,2,5280,294,-40,-1,1,0,0,0
2365,2,1,1,19160,376,-42,-14,1,0,0,0
1039,1,1,2,1380,56,-49,40,1,0,0,0
192,1,2,1,664090,1824,-12,5,1,1100,600,0
2577,2,1,1,16330,270,7,-14,1,0,0,0
747,1,1,1,21060,106,-61,-82,1,0,0,0
2303,1,2,1,13320,153,-52,-68,1,3000,3000,0
876,1,1,1,65320,128,-29,-25,1,800,800,0
999,1,1,2,3420,14,5,-65,1,0,0,0
136,1,1,2,51230,222,-68,-57,1,3000,3000,0
483,1,1,1,53390,432,-7,15,1,3200,3000,0
685,1,2,1,133430,1074,5,-9,1,16700,8000,0
1208,2,1,1,30060,1135,29,66,1,0,0,0
1363,1,2,1,11630,481,-27,21,1,0,0,0
1572,2,2,1,31240,836,-7,-9,2,2000,2000,0
1141,1,2,1,26860,319,5,-37,1,0,0,0
1066,1,1,2,2890,28,2,-30,1,0,0,0
2382,1,2,1,32270,631,8,52,1,500,500,0
571,2,1,1,39760,211,-38,-39,1,1600,900,0
2541,2,1,2,11190,245,10,31,1,0,0,0
1337,1,2,1,15180,196,-3,-21,1,0,0,0
1238,1,1,1,18580,753,-7,25,1,0,0,0
1995,2,2,1,19120,389,-23,-14,2,0,0,0
1625,2,1,1,27810,499,-17,-9,1,0,0,0
2129,1,1,1,25480,484,-20,-8,1,7000,7000,0
429,2,2,1,46430,737,3,46,1,15000,9000,0
1380,2,2,1,17310,485,-3,6,1,0,0,0
2156,1,1,1,45940,702,67,45,1,0,0,0
1586,1,2,2,17670,255,130,56,1,0,0,0
952,1,1,2,11190,27,4,-32,1,0,0,0
1877,1,2,1,24360,444,-20,-31,1,0,0,0
1975,2,1,1,26330,386,13,-18,1,0,0,0
1377,2,2,1,21300,710,19,55,1,2000,2000,0
488,1,1,1,60200,449,32,24,1,9200,5000,0
1785,2,1,1,58850,679,113,-20,1,1300,800,1
2226,2,2,1,27900,598,-45,-18,1,300,300,0
1182,1,2,2,6550,163,-33,-29,1,0,0,0
1602,1,1,2,6010,215,-41,-38,1,0,0,0
1033,1,1,2,1920,32,-29,-20,1,0,0,0
1617,2,1,1,59250,1452,59,39,1,500,500,0
2562,2,1,2,6970,154,-33,-25,1,0,0,0
781,1,1,1,35800,341,16,38,1,0,0,0
1598,1,1,2,8390,33,262,-65,1,0,0,0
1688,1,2,1,28780,1294,-18,26,1,0,0,0
1947,1,1,1,7430,196,-70,-61,1,0,0,0
2307,1,2,1,30980,480,11,0,1,0,0,0
865,1,1,1,54980,115,-72,-66,1,600,600,0
388,2,1,1,76560,586,-47,-41,1,9500,4000,0
737,1,1,1,172530,2873,18,44,1,2300,1000,0
1766,2,1,2,5350,162,-49,-57,1,0,0,0
1917,1,1,1,55230,904,57,56,1,0,0,0
1463,1,2,1,9590,222,-49,-64,1,300,300,0
1589,1,2,2,12300,424,34,39,1,0,0,0
2557,1,1,1,10590,256,-19,-2,1,0,0,0
1537,2,2,1,23750,442,32,44,2,600,600,0
1816,1,2,1,57040,754,99,52,1,3000,3000,0
1290,1,1,1,12350,296,101,21,1,0,0,0
929,1,2,2,21730,56,37,18,1,0,0,0
1166,1,2,2,14300,275,33,14,1,0,0,0
70,1,1,1,590510,1780,23,-6,1,800,800,0
1285,1,1,1,16430,213,-27,-47,1,6000,6000,0
2492,1,1,2,11380,290,0,30,1,0,0,0
25,1,1,2,38820,213,-82,-57,1,4000,4000,0
384,2,1,1,110510,708,-58,-58,1,44200,40000,0
418,1,2,1,17660,224,-41,-27,1,9900,4000,1
2152,1,1,1,39900,573,45,19,1,40000,40000,0
2331,2,1,1,9140,335,-69,-25,1,0,0,0
884,1,1,2,39660,86,80,87,1,0,0,0
302,2,1,1,645750,2035,7,6,1,63800,40000,0
1282,1,1,1,15160,180,-33,-55,1,500,500,0
396,1,3,2,10490,93,-87,-82,1,3000,3000,0
273,1,1,1,538060,2075,-5,-11,1,900,700,1
1973,2,1,1,56060,600,140,27,1,0,0,0
889,1,1,2,22300,55,2,17,1,0,0,0
549,1,1,1,23040,318,-39,-28,1,1300,1000,0
2114,1,1,2,10730,205,-5,-16,1,0,0,0
654,2,1,1,29900,665,-50,-31,1,900,900,1
471,1,2,2,1860,33,-78,-30,1,4000,4000,1
512,1,1,1,36400,411,-7,-5,1,8700,8000,0
795,1,1,2,2210,34,-64,-51,1,3400,3000,0
414,2,1,1,26190,246,-29,-33,1,20500,20000,0
1834,1,2,1,22830,467,-19,-28,2,500,500,0
1050,1,1,2,1620,11,-30,-72,1,0,0,0
572,2,1,1,74940,360,31,15,1,500,400,0
26,1,1,2,56960,200,-70,-58,1,0,0,0
1628,2,1,1,66320,1644,72,53,1,6000,5000,0
2249,2,1,1,59360,1033,107,31,1,2400,2000,1
2211,1,3,1,106030,988,148,49,2,0,0,0
2530,2,1,2,8520,216,-21,12,1,0,0,0
827,1,2,1,197620,406,19,-16,1,0,0,0
1592,1,2,2,9870,360,5,14,1,0,0,0
1121,2,1,1,58720,513,175,8,1,0,0,0
1347,1,2,1,16540,213,2,-11,1,0,0,0
2237,2,2,1,49030,1026,71,34,1,0,0,0
284,2,1,1,932410,2464,47,28,1,36500,30000,1
2367,1,1,1,27780,386,-15,-8,1,5000,5000,0
997,1,1,2,4310,29,15,-28,1,0,0,0
2215,2,3,1,57440,538,27,-23,2,0,0,0
2469,2,1,1,15190,208,-38,-48,1,700,700,0
138,1,1,1,368340,1325,-28,-4,1,2000,2000,0
30,1,1,1,395110,1043,46,40,1,6000,2000,0
844,1,2,2,22270,53,-23,-3,1,4000,4000,0
224,1,1,1,1367850,3137,-15,5,1,1000,1000,0
2189,1,3,1,101280,1116,223,112,3,700,700,0
1921,1,1,2,9280,294,35,71,1,0,0,0
507,1,2,2,6790,67,34,50,1,0,0,0
1826,1,2,1,52200,828,95,27,1,10000,10000,0
2100,1,1,2,5310,287,-58,15,1,0,0,0
836,1,1,2,9050,17,-79,-81,1,0,0,0
550,1,2,2,5380,90,-18,58,1,2000,2000,0
1585,1,2,2,17390,720,89,136,1,0,0,0
148,1,1,2,37490,224,-70,-51,1,0,0,0
1597,1,2,2,8190,325,-13,3,1,0,0,0
125,1,1,2,160350,828,-31,23,1,0,0,0
1205,2,2,1,47470,466,88,14,1,0,0,0
2037,1,1,2,40370,755,223,202,1,0,0,0
2482,1,1,1,25920,369,17,0,1,0,0,0
1351,1,2,1,31340,726,109,92,2,9500,9000,0
684,1,2,1,95620,996,-26,-17,1,0,0,0
208,1,1,1,1018360,2263,-19,-12,1,0,0,0
1670,1,2,1,45530,736,37,37,1,0,0,0
427,2,2,2,10370,134,-44,-6,1,6300,4000,1
1530,2,2,1,45520,1214,177,164,2,0,0,0
2225,2,2,1,25250,668,-50,-9,1,4000,4000,0
421,2,2,1,29410,345,-6,7,1,114400,70000,1
2341,2,1,1,58660,728,87,63,1,2400,2000,0
217,1,1,1,918020,1759,-36,-34,1,5000,3000,0
2094,1,1,2,6860,282,-45,13,1,0,0,0
171,1,2,1,698810,1279,-11,-14,1,8000,4000,0
2252,2,1,2,26830,584,287,205,1,0,0,0
1005,1,1,2,2260,17,-29,-58,1,0,0,0
2559,2,1,2,8470,203,-17,8,1,0,0,0
2526,2,1,2,7590,227,-34,1,1,0,0,0
443,2,2,1,59380,949,27,30,1,26600,20000,0
587,1,1,1,21240,138,-50,-52,1,700,700,0
2279,2,2,2,2580,94,-79,-62,1,0,0,0
1775,2,1,2,3610,107,-65,-72,1,0,0,0
402,2,1,1,54050,373,-14,-31,1,9400,6000,0
748,1,1,1,18240,87,-53,-72,1,2500,2000,0
534,2,2,1,13740,218,-55,-42,1,0,0,1
926,1,2,2,15570,41,-16,-19,1,0,0,0
642,2,2,1,40030,577,-28,-13,1,0,0,0
1373,1,2,1,16940,455,-1,6,1,30000,30000,0
745,1,1,1,28360,181,-60,-80,1,3800,3000,0
1226,2,1,1,20670,376,-25,-10,1,0,0,0
939,1,1,2,13960,36,-85,-74,1,0,0,0
1113,1,1,1,43380,693,83,36,1,0,0,0
874,1,1,1,60100,94,-43,-52,1,1000,800,0
0,1,1,2,15180,48,-72,-72,1,0,0,0
1996,2,2,1,21400,391,-14,-14,2,300,300,0
1587,1,2,2,16460,586,79,92,1,0,0,0
1971,2,1,1,36100,350,54,-26,1,100,100,0
2356,2,1,1,23170,354,-28,-19,1,600,600,0
1011,1,1,2,3380,14,37,-65,1,0,0,0
297,2,1,1,593950,1972,-13,-2,1,32800,30000,0
494,2,1,1,87140,680,94,83,1,27100,20000,0
633,2,1,1,65490,735,60,72,1,72000,60000,0
1985,1,1,1,42210,662,78,44,1,33000,30000,0
1341,1,2,1,32730,1209,353,506,2,0,0,0
1160,1,2,1,45560,591,79,33,1,0,0,0
1894,1,1,2,22480,508,227,195,1,0,0,0
1620,2,1,1,22840,842,146,311,2,0,0,0
1020,1,1,2,2610,39,5,-2,1,0,0,0
1911,1,1,2,10040,300,7,-7,1,0,0,0
780,1,1,1,41740,331,37,29,1,1100,700,0
2088,1,1,2,4720,186,-62,-26,1,0,0,0
2354,2,1,1,34570,446,7,2,1,3300,3000,0
20,1,1,2,13250,32,-71,-79,1,0,0,0
2241,2,1,1,28900,692,0,-13,1,0,0,0
420,2,2,1,54610,527,95,84,1,14700,4000,1
2098,1,1,2,4160,189,-67,-24,1,0,0,0
2495,1,1,2,6760,136,-41,-39,1,1000,1000,0
1081,1,1,2,3180,11,4,-72,1,0,0,0
1389,2,2,1,18850,587,4,23,1,0,0,0
397,1,3,1,83180,744,-32,-19,1,14600,9000,1
197,1,1,1,1256570,3289,86,88,1,6200,5000,0
